Artist,Album,Year,Role,Album URL,Album Art URL
Thermal and a Quarter,What World,,"Bass, Production, Engineering, Mixing",https://thermalandaquarter.bandcamp.com/track/what-world,https://f4.bcbits.com/img/a3901551932_10.jpg
Thermal and a Quarter,Inside Out,,"Bass, Production, Engineering, Mixing",https://thermalandaquarter.bandcamp.com/track/inside-out,https://f4.bcbits.com/img/a3954429145_10.jpg
Thermal and a Quarter,Tilt,,"Bass, Production, Engineering, Mixing",https://thermalandaquarter.bandcamp.com/track/tilt,https://f4.bcbits.com/img/a0301727459_10.jpg
Thermal and a Quarter,A World Gone Mad,,"Bass, Production, Engineering, Mixing",https://thermalandaquarter.bandcamp.com/album/a-world-gone-mad,https://f4.bcbits.com/img/a0859764813_10.jpg
Blushing Satellite,The Union,,"Production, Engineering, Mixing",https://blushingsatellitemusic.bandcamp.com/album/the-union,https://f4.bcbits.com/img/a0719948569_10.jpg
Alexis D'Souza,"You're Nobody, You're Perfect",,"Bass, Production, Engineering, Mixing",https://alexisdsouza.bandcamp.com/album/youre-nobody-youre-perfect,https://f4.bcbits.com/img/a3544342918_10.jpg
Mahesh Raghunandan,Accept,,"Bass, Production, Engineering, Mixing",https://maheshmusic.bandcamp.com/album/accept-ep,https://f4.bcbits.com/img/a3137896609_10.jpg
The Earth Below,Nothing Works Vol. 2: Hymns for Useless Gods,,"Bass, Mixing",https://theearthbelow.bandcamp.com/album/nothing-works-vol-2-hymns-for-useless-gods,https://f4.bcbits.com/img/a1039702741_10.jpg
Parvaaz,Na Gul Na Gulistan,,"Engineering, Mixing",https://music.apple.com/in/album/na-gul-na-gulistan/1848961863,
HOODOO,LIVE,,"Bass, Mixing & Mastering",https://hoodoomusic.bandcamp.com/album/live,https://f4.bcbits.com/img/a2702480162_10.jpg
Amyt Datta Electric Power Quartet,ELECTRIC,2024,Mastering,https://music.apple.com/in/album/electric-feat-sambitc-amyt-datta-thirdself-aakash-ganguly/1761158147,
Gauley Bhai,Sunbari,2025,Mixing,https://music.apple.com/in/album/sunbari/1802817044,
Bevar Sea,The Timeless Zone,,Mixing,https://bevarsea.bandcamp.com/album/the-timeless-zone,https://f4.bcbits.com/img/a4192694492_10.jpg
Megadrone,Transmission II: Jovian Echoes,"Synths, Mixing",https://megadrone.bandcamp.com/album/transmission-ii-jovian-echoes,https://f4.bcbits.com/img/a2768958156_10.jpg
Megadrone,We Do Not Know You Either (a Live Transmission),"Guitars, Mixing",https://megadrone.bandcamp.com/album/we-do-not-know-you-either-a-live-transmission,https://f4.bcbits.com/img/a0069571717_10.jpg
Megadrone,Dissolution and Liberation (a Live Transmission),"Synths, Mixing",https://megadrone.bandcamp.com/album/dissolution-and-liberation-a-live-transmission,https://f4.bcbits.com/img/a0934356154_10.jpg
fen.,Do Good. Be Kind.,2024,"Production, Engineering, Mixing",https://music.apple.com/in/album/do-good-be-kind-ep/1750508951,
Fragment of Light,Live 10.12.2023,2023,"Synths, Mixing",https://fragmentoflight.bandcamp.com/album/live-20231210,https://f4.bcbits.com/img/a4274692731_10.jpg
Blue Atom Sky,There Was Once an Atom,2025,"Production, Synths, Engineering, Mixing",https://music.apple.com/in/album/there-was-once-an-atom/1893040126,
Ragini Ramanathan,The Bubble Lift Hotel,2021,"Mixing, Mastering",https://raginiramanathan.bandcamp.com/album/the-bubble-lift-hotel,https://f4.bcbits.com/img/a3477364204_10.jpg
Stuck in November,First Visit To Camp Telepathy,2021,Mixing,https://stuckinnovember.bandcamp.com/album/first-visit-to-camp-telepathy,https://f4.bcbits.com/img/a0498484041_10.jpg
Mickey Robbins,Transformations Vol. 1,,"Mixing, Mastering",https://mickeyrobbins.bandcamp.com/album/transformations-vol-1,https://f4.bcbits.com/img/a1625813694_10.jpg
Suvankar Plus Other Stories,Middle Class Anarchy,"Mixing,Mastering",https://suvankarplusotherstories.bandcamp.com/album/middle-class-anarchy,https://f4.bcbits.com/img/a3545664751_10.jpg
Leslie Charles,Baby Steps,2016,Composer,https://lesliecharles.bandcamp.com/album/baby-steps,https://f4.bcbits.com/img/a0806302049_10.jpg
Leslie Charles,Culture,2017,Composer,https://lesliecharles.bandcamp.com/album/culture,https://f4.bcbits.com/img/a2585517372_10.jpg
Leslie Charles,vol. 1,2018,Composer,https://lesliecharles.bandcamp.com/album/vol-1,https://f4.bcbits.com/img/a2129337279_10.jpg
Leslie Charles,vol. 2,2018,Composer,https://lesliecharles.bandcamp.com/album/vol-2,https://f4.bcbits.com/img/a3633499345_10.jpg
Day Care for Adults,antidote, Composer,https://daycareforadults.bandcamp.com/album/antidote,https://f4.bcbits.com/img/a3904581111_10.jpg
Day Care for Adults,self 1,,Composer,https://daycareforadults.bandcamp.com/album/self-1,https://f4.bcbits.com/img/a1364140573_10.jpg
Day Care for Adults,observer/observed,,Composer,https://daycareforadults.bandcamp.com/album/observer-observed,https://f4.bcbits.com/img/a1420442904_10.jpg
Cinema of Excess, Mighty Angel,,"Mixing,Mastering",https://cinemaofexcess.bandcamp.com/track/mighty-angel
Gauley Bhai, Rang Pheri, Mixing, https://music.apple.com/in/album/rang-pheri-single/1714456700
